"Date","Adelaide","Apia","Beijing","Bangkok","Brisbane","Bandar Seri Begawan","Guangzhou","Cairns","Denpasar","Dubai","Buenos Aires","Hong Kong","Honolulu","Osaka","Kuala Lumpur","Los Angeles","London","Melbourne","Nadi","Nagoya","Noumea","Tokyo","Coolangatta","Perth","Papeete","Rarotonga","Santiago","Seoul","San Francisco","Shanghai","Singapore","Sydney","Tonga","Taipei","Port Vila","Vancouver","TOTAL ALL OVERSEAS PORTS"
"1997M09",0,29,0,28,186,0,0,13,17,0,9,31,45,25,16,138,22,141,106,17,16,36,9,8,19,13,0,56,0,0,73,372,24,26,9,17,1292
"1997M10",0,31,0,30,200,0,0,14,18,0,9,36,49,26,21,144,21,153,110,14,14,33,8,9,18,15,0,66,0,0,70,391,23,27,7,24,1355
"1997M11",0,31,0,15,192,0,0,15,12,0,13,38,48,29,12,142,26,162,108,13,14,20,9,9,17,14,0,60,0,0,63,409,21,31,5,8,1386
"1997M12",0,52,0,13,207,0,0,14,14,0,13,37,52,31,14,144,28,179,111,14,12,23,9,12,22,13,0,64,0,0,86,420,28,39,4,9,1513
"1998M01",0,53,0,13,211,0,0,16,13,0,14,37,55,30,13,146,26,175,112,14,15,21,9,14,23,14,0,53,0,0,76,420,29,38,5,9,1516
"1998M02",0,31,0,12,166,0,0,13,12,0,12,35,48,28,12,132,24,164,94,13,12,20,6,8,20,12,3,32,13,0,67,378,19,40,4,8,1296
"1998M03",0,36,0,13,183,0,0,13,14,0,13,41,48,31,13,144,23,179,104,13,14,28,8,11,23,13,2,35,30,0,65,416,22,35,4,7,1417
"1998M04",0,35,0,13,193,0,0,13,13,0,13,43,29,29,14,142,25,160,88,9,14,32,8,9,17,12,0,26,31,0,60,422,22,25,6,8,1378
"1998M05",0,37,0,16,196,0,0,15,12,0,10,44,33,35,13,151,27,165,91,10,14,34,5,9,17,15,0,26,24,0,62,420,22,27,10,9,1410
"1998M06",0,34,0,12,204,0,0,13,13,0,9,43,34,35,16,139,26,165,86,8,13,32,4,8,18,13,0,23,0,0,61,415,24,26,10,8,1377
"1998M07",0,35,0,15,226,0,0,19,13,0,11,45,39,34,18,138,26,195,88,9,14,31,10,9,19,14,0,28,0,0,62,480,26,26,8,13,1537
"1998M08",0,37,0,13,237,0,0,17,12,0,10,44,43,35,17,138,27,197,85,9,15,27,6,9,17,14,3,31,0,0,65,469,22,27,10,17,1533
"1998M09",0,36,0,13,233,0,0,17,14,0,8,43,40,29,18,130,26,184,81,8,16,27,8,8,19,12,5,22,0,0,61,458,24,25,9,16,1473
"1998M10",0,33,0,16,231,0,0,17,13,0,9,44,43,30,19,137,26,204,91,15,17,33,8,10,21,15,2,23,0,0,66,497,28,25,9,16,1575
"1998M11",1,36,0,13,192,0,0,15,13,0,12,43,27,26,17,131,31,209,84,18,13,31,4,8,16,20,0,26,0,0,80,486,29,18,9,3,1524
"1998M12",0,49,0,13,224,0,0,13,13,0,17,44,35,27,20,137,29,213,79,21,13,33,4,13,25,21,0,30,0,0,85,500,41,23,9,8,1636
"1999M01",0,53,0,14,233,0,0,13,13,0,18,44,37,27,17,139,28,209,90,22,19,29,5,13,21,26,0,32,0,0,90,502,40,31,9,15,1673
"1999M02",1,32,0,12,182,0,0,11,12,0,16,46,33,23,16,123,26,199,81,18,14,28,4,12,21,20,0,28,0,0,76,455,29,39,9,16,1497
"1999M03",0,36,0,13,209,0,0,14,13,0,18,45,36,30,18,138,27,220,89,18,12,36,5,12,19,23,0,28,0,0,82,508,31,18,9,17,1617
"1999M04",0,29,0,13,200,0,0,14,13,0,15,43,34,28,23,139,30,232,108,17,15,33,9,9,18,19,0,20,0,0,82,482,31,13,4,0,1565
"1999M05",0,32,0,13,198,0,0,12,14,0,10,42,33,34,23,142,31,231,108,17,15,35,4,9,17,18,0,18,0,0,84,456,32,13,6,0,1527
"1999M06",0,30,0,13,195,0,0,12,12,0,11,26,30,29,22,138,30,217,111,19,13,36,6,8,20,19,0,17,0,0,82,432,34,13,9,0,1462
"1999M07",3,31,0,14,218,0,0,9,14,0,17,45,29,33,23,142,31,228,119,16,14,32,9,10,18,17,0,19,0,1,86,498,31,13,9,0,1623
